Identifier	d13C	d15N	category	dating	%N	%C	C_N_ratio	archaeological category	XX	YY	category_type	family	part	type	Category	P	K	Ca	Mn	Cu	Zn	As	Pb
12321189	-25,75542107	4,733038669	trebokov	High Medieval P.	0,09	1,20	7,83	MEDIEVAL VILLAGE	-815290	-1057320					A	279,6031746	22810,33333	1499,04808	314	55	236	27,66666667	23,33333333
12321170	-26,46660223	6,062223049	trebokov	High Medieval P.	0,08	0,97	8,24	MEDIEVAL FIELD	-815290	-1057510					A	328,3485477	16996,66667	1040,373443	507,6666667	33	107,3333333	17,33333333	30,66666667
12321169	-25,87990328	2,068727208	trebokov	High Medieval P.	0,18	3,50	5,05	MEDIEVAL FIELD	-815290	-1057520					A	534,199247	18825,66667	654,0315315	405,6666667	34,33333333	108	23	37
12311176	-25,28300087	4,408170952	trebokov	High Medieval P.	0,14	2,41	5,91	MEDIEVAL FIELD	-815300	-1057450					A	502,2353249	18876	2542,468065	1143,666667	31	107	18	25,33333333
12311175	-26,28600099	6,224656907	trebokov	High Medieval P.	0,10	1,36	7,28	MEDIEVAL FIELD	-815300	-1057460					A	515,8106611	17656,33333	656,9099099	384,6666667	38,33333333	114,3333333	16,66666667	29
12301175	-26,67985454	4,085284136	trebokov	High Medieval P.	0,17	2,74	6,10	MEDIEVAL FIELD	-815310	-1057460					A	483,6666667	17691,66667	789,1400464	344,3333333	42	111,3333333	19,33333333	26,66666667
12261171	-25,63910162	5,348108341	trebokov	High Medieval P.	0,08	1,28	6,34	MEDIEVAL FIELD	-815350	-1057500					A	304,6134021	19888	2043,046739	429,3333333	30,66666667	105	14,66666667	29,33333333
12261170	-24,70446469	4,09716954	trebokov	High Medieval P.	0,06	0,92	6,29	MEDIEVAL FIELD	-815350	-1057510					A	325,5214385	21234,33333	2215,285657	499,3333333	40	111,3333333	15,33333333	25
12261169	-26,24314645	2,566923738	trebokov	High Medieval P.	0,09	1,60	5,31	MEDIEVAL FIELD	-815350	-1057520					A	399,5398062	19015	714,7161253	233,3333333	35	91	18	24,66666667
12221189	-25,15443728	0,258679181	trebokov	High Medieval P.	0,07	0,78	9,03	MEDIEVAL VILLAGE	-815390	-1057320					A	209,8560091	24190,66667	1006,909414	193,6666667	33,33333333	133,6666667	21,66666667	16,66666667
12211189	-26,179885	4,73402912	trebokov	High Medieval P.	0,12	1,82	6,83	MEDIEVAL VILLAGE	-815400	-1057320					A	289,922293	24863	1114,170806	185	24	92	20,66666667	27
12211188	-25,39319824	4,848921361	trebokov	High Medieval P.	0,14	1,79	7,94	MEDIEVAL VILLAGE	-815400	-1057330					A	270,1489203	22527,66667	817,1396396	566,3333333	33,66666667	104,3333333	20,33333333	31
12201182	-25,91663573	2,820479029	trebokov	High Medieval P.	0,10	1,86	5,48	MEDIEVAL VILLAGE	-815410	-1057390					A	442,9668079	19648	792,9788969	366,6666667	30,33333333	69,33333333	16,33333333	29,66666667
12191182	-25,89622881	5,363955547	trebokov	High Medieval P.	0,10	1,51	6,39	MEDIEVAL VILLAGE	-815420	-1057390					A	427,4673729	18910	617,0881107	421	32,33333333	78	17,66666667	28
12191181	-26,01764999	4,229889888	trebokov	High Medieval P.	0,10	1,55	6,39	MEDIEVAL VILLAGE	-815420	-1057400					A	367,759322	17857,66667	890,6518033	308,3333333	29	73,66666667	22,33333333	30
12181181	-26,15335601	4,62507958	trebokov	High Medieval P.	0,08	1,29	6,13	MEDIEVAL VILLAGE	-815430	-1057400					A	339,0759184	21885,33333	621,7297297	260,6666667	34,66666667	85	19,66666667	29,33333333
11701097	-26,99208042	5,04106873	trebokov	High Medieval P.	0,18	2,16	8,48	FIELDS	-815910	-1058240					A	338,5	12962,33333	410,6666667	796	32,33333333	89,66666667	18	36,66666667
11681099	-27,30634699	4,87467307	trebokov	High Medieval P.	0,13	1,43	9,26	FIELDS	-815930	-1058220					A	410,8404292	19832,33333	1205,932504	298,3333333	37,33333333	127,3333333	13,33333333	26,66666667
11681095	-27,27165522	5,832438566	trebokov	High Medieval P.	0,21	2,32	8,88	FIELDS	-815930	-1058260					A	284	20487,33333	312	585	39,66666667	103,3333333	16,66666667	33,33333333
